School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
3379,Hoon Hay Te Kura Kōaka,03 338 8429,03 338 6412,office@hoonhay.school.nz,Lee Mcarthur,http://www.hoonhay.school.nz,91 Sparks Road,Hoon Hay,Christchurch,91 Sparks Road,Hoon Hay,Christchurch,8025,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hoon Hay,Spreydon Ward,,,-43.564866,172.606597,0.12,8,435,291,65,23,41,11,4,0
3380,Hornby Primary School,03 349 7238,,office@hornbyprimary.school.nz,Gary Roberts,http://www.hornbyprimary.school.nz,190 Waterloo Road,Hornby,Christchurch,190 Waterloo Road,Hornby,Christchurch,8042,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hornby North,Hornby Ward,99045,Uru Mānuka Kāhui Ako,-43.538707,172.522632,0.22,3,239,78,85,39,31,5,1,0
3381,Hororata School,03 318 0803,03 318 0682,,Martyn Gameson ,http://hororata.ultranet.school.nz,2548 Bealey Road,Hororata,Darfield,2548 Bealey Road RD 2,,Darfield,7572,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Malvern,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.53945,171.959653,1.25,9,83,56,7,3,13,3,1,0
3384,Ilam School,03 348 7492,,admin@ilam.school.nz,Paul Dolan,http://www.ilam.school.nz,66 Ilam Road,Ilam,Christchurch,66 Ilam Road,Ilam,Christchurch,8041,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Fendalton,Riccarton Ward,,,-43.526413,172.579696,0.12,6,425,169,30,16,147,26,31,6
3385,Isleworth School,03 359 8553,03 359 8560,admin@isleworth.school.nz,Suzanne Newton,http://www.isleworth.school.nz,59A Farrington Avenue,Bishopdale,Christchurch,59A Farrington Avenue,Bishopdale,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Harewood,Harewood Ward,99027,Waimairi-iri Community of Learning,-43.493107,172.582123,0.16,5,301,179,54,26,34,7,1,0
3388,Kaiapoi Borough School,03 327 7231,03 327 6369,tracey.m@kbs.school.nz,Chris Heenan (Acting),http://www.kbs.school.nz,20 Hilton Street,,Kaiapoi,20 Hilton Street,,Kaiapoi,7630,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Kaiapoi South,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.379062,172.651468,0.36,5,384,256,89,10,17,12,0,0
3389,Kaiapoi North School,03 327 8803,03 327 8830,office@kaiapoinorth.school.nz,Jason Miles,http://www.kaiapoinorth.school.nz,278 Williams Street,,Kaiapoi,278 Williams Street,,Kaiapoi,7630,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Kaiapoi North East,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.375957,172.663615,0.36,7,518,369,81,31,14,13,10,0
3391,Kaikoura Primary School,03 319 5440,,office@kaikoura.school.nz,Hannah Simpson,http://www.kaikoura.school.nz,19 Torquay Street,Esplanade,Kaikoura,19 Torquay Street,,Kaikoura,7300,Minor Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Kaikoura District,Canterbury Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Kaikoura Township,Area Outside Ward,99025,Kaikoura Community of Learning,-42.408026,173.684082,3.07,3,111,53,45,2,9,0,2,0
3392,Kaikoura Suburban School,03 319 5064,03 319 5064,office@ks.school.nz,Mandy Woods,http://www.kaikourasuburban.school.nz,425 Schoolhouse Road,,Kaikoura,425 Schoolhouse Road RD 1,,Kaikoura,7371,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Kaikoura District,Canterbury Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Kaikoura Rural,Area Outside Ward,99025,Kaikoura Community of Learning,-42.371694,173.638327,3.06,5,53,41,8,0,4,0,0,0
3396,Kirkwood Intermediate,03 348 7718,03 348 1085,school.information@kirkwood.school.nz,Philip Tappenden,http://www.kirkwood.school.nz,260 Riccarton Road,Riccarton,Christchurch,P O Box 29242,Fendalton,Christchurch,8540,Main Urban Area,Intermediate,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Upper Riccarton,Riccarton Ward,,,-43.530607,172.585501,0.1,7,325,192,38,9,71,12,1,2
3397,Kirwee Model School,03 318 1850,03 317 8002,office@kirweemodel.school.nz,Leonie Weavers,http://www.kirweemodel.school.nz,School Lane,,Kirwee,P O Box 129,,Kirwee,7543,Rural Area,Contributing,Model School,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Kirwee,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.496674,172.218161,0.81,10,159,138,14,2,2,3,0,0
3402,Ladbrooks School,03 329 6885,03 329 6415,office@ladbrooks.school.nz,Penny O'Brien,http://www.ladbrooks.school.nz,9 Barnes Road,,Ladbrooks,9 Barnes Road RD 4,,Christchurch,7674,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Trents-Ladbrooks,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.617669,172.532329,0.32,10,153,131,17,0,0,3,2,0
3406,Lake Tekapo School,03 680 6816,,office@tekapo.school.nz,Simon Waymouth,,Aorangi Crescent,,Lake Tekapo,P O Box 15,,Lake Tekapo,7945,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Lake Tekapo,Pukaki Ward,99143,Te Kāhui Ako ō Te Manahuna,-44.005064,170.4748,2.64,10,33,23,1,3,3,3,0,0
3407,Lauriston School,03 302 4799,03 302 4011,admin@lauriston.school.nz,Colin Brodie,http://www.lauriston.school.nz/,Church Street,Lauriston,Ashburton,Church Street RD 2,,Ashburton,7772,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Mt Somers,Western Ward,99009,Opuke Community of Learning,-43.730734,171.778572,1.29,9,105,92,2,2,4,4,1,0
3410,Leeston School,03 324 3493,03 324 3058,principal@leeston.school.nz,Lynda Taylor,http://www.leeston.school.nz,Selwyn Street,,Leeston,24 Selwyn Street,,Leeston,7632,Minor Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Leeston,Ellesmere Ward,99207,Ngā Mātāpuna o te Waihora Kāhui Ako,-43.760752,172.297571,0.93,8,334,255,48,10,14,4,3,0
3411,Leithfield School,03 314 8024,03 314 8017,principal@leithfield.school.nz,Rob Cavanagh (Acting),http://www.leithfield.school.nz,Old Main Road,,Amberley,Old Main North Road RD 1,,Amberley,7481,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Leithfield,Amberley Ward,99077,Puketeraki Community of Learning,-43.197813,172.740036,0.74,8,121,95,23,0,2,0,1,0
3412,Lincoln Primary School,027 319 9809,03 325 2507,admin@lincolnprimary.ac.nz,Viv Butcher,http://lincolnprimary.ultranet.school.nz/,130 North Belt,,Lincoln,130 North Belt,,Lincoln,7608,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Lincoln,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.637105,172.487099,0.43,10,620,427,44,14,100,23,7,5
3413,Linwood Avenue School,03 389 9256,03 389 3865,office@linwoodave.school.nz,Gretchen Smith,http://www.linwoodave.school.nz,260 Linwood Avenue,Linwood,Christchurch,260 Linwood Avenue,Linwood,Christchurch,8062,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Woolston West,Linwood Ward,99063,Tamai Community of Learning,-43.535284,172.67488,0.08,2,373,126,108,64,70,4,1,0
3415,Whītau School,03 389 8112,03 389 8222,office@whitau.school.nz,Sandra Dentice,http://www.linwoodnorth.school.nz,221 Woodham Road,Linwood,Christchurch,221 Woodham Road,Linwood,Christchurch,8062,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Avonside,Linwood Ward,99063,Tamai Community of Learning,-43.524848,172.675792,0.08,2,322,118,122,61,16,2,3,0
3418,Little River School,03 325 1004,03 325 1274,office@littleriver.school.nz,Christian Couper,http://www.littleriver.school.nz,46 Western Valley Road,,Little River,46 Western Valley Road RD 1,,Little River,7591,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Little River,Banks Peninsula Ward,,,-43.763797,172.795486,1.19,9,88,62,19,1,5,1,0,0
3419,Loburn School,03 312 8828,03 312 8069,office@loburn.school.nz,Stuart Priddy,http://www.loburn.school.nz,73 Hodgsons Road,Loburn,Rangiora,73 Hodgsons Road RD 2,,Rangiora,7472,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Loburn,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.250122,172.530073,0.61,9,174,150,15,4,5,0,0,0
3425,Mairehau Primary School,03 385 3796,03 385 7672,office@mairehau.net,John Bangma,http://www.mps.school.nz,43 Mahars Road,,Christchurch,P O Box 27166,Shirley,Christchurch,8640,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Shirley West,Innes Ward,,,-43.49871,172.641415,0.09,6,436,270,91,29,36,10,0,0
3426,Makikihi School,03 689 5587,03 689 5589,office@makikihi.school.nz,Tina Ivamy,http://www.makikihi.school.nz,12 Makikihi Station Road,,Makikihi,12 Makikihi Station Road RD 8,,Waimate,7978,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waihao,Pareora-Otaio-Makikihi Ward,99040,Waimate Community of Learning,-44.632039,171.142241,1.2,6,33,29,3,0,1,0,0,0
3429,Marshland School,03 385 2239,,office@marshland.school.nz,Leigh Fowler,http://www.marshland.school.nz,11 Te Korari Street,Marshland,Christchurch,11 Te Korari Street,Marshland,Christchurch,8083,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Prestons,Burwood Ward,,,-43.472028,172.664748,0.17,9,531,370,72,6,68,15,0,0
3432,Mayfield School (Mid-Canterbury),03 303 6214,03 303 6514,office@mayfieldschool.co.nz,Richard Kidd,http://www.mayfieldschool.co.nz,14 Lismore Mayfield Road,,Ashburton,14 Lismore Mayfield Road RD 5,,Ashburton,7775,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Mt Somers,Western Ward,99009,Opuke Community of Learning,-43.823442,171.421329,1.4,7,84,60,10,2,9,2,1,0
3434,Merrin School,03 358 8369,,office@merrin.school.nz,Lisa Dillon-Roberts,http://www.merrin.school.nz,41 Merrin Street,Avonhead,Christchurch,41 Merrin Street,Avonhead,Christchurch,8042,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Merrin,Waimairi Ward,,,-43.510497,172.558579,0.18,8,509,201,48,16,222,20,1,1
3436,Methven School,03 302 8500,,office@methven.school.nz,Sue Furndorfler (Acting),http://www.methven.school.nz,McDonald Street,,Methven,1 McDonald Street,,Methven,7730,Minor Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Methven,Western Ward,99009,Opuke Community of Learning,-43.636575,171.650119,1.58,9,260,196,31,2,24,6,1,0
3441,Mt Somers Springburn School,03 303 9892,03 303 9894,office@mtss.school.nz,Sean Wansbrough,http://www.mtss.school.nz,Ashburton Gorge Road,Mount Somers,Ashburton,Ashburton Gorge Road RD 1,,Ashburton,7771,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Mt Somers,Western Ward,99009,Opuke Community of Learning,-43.704789,171.402382,1.59,9,93,71,8,4,4,6,0,0
3442,Aoraki Mount Cook School,03 435 1835,03 435 1085,secretary@aoraki.school.nz,Sandra Rolls,http://www.aoraki.school.nz,5 Sebastopol Drive,,Mt Cook,P O Box 31,,Mount Cook,7946,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Mt Cook,Pukaki Ward,99143,Te Kāhui Ako ō Te Manahuna,-43.738181,170.099856,4.81,9,9,4,0,4,1,0,0,0
3443,Mt Pleasant School,03 384 3994,03 384 5517,office@mtpleasant.school.nz,Chris Nord,http://www.mtpleasant.school.nz,82 Major Hornbrook Road,Mt Pleasant,Christchurch,82 Major Hornbrook Road,Mount Pleasant,Christchurch,8081,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Mt Pleasant,Heathcote Ward,99196,Aupaki Kāhui Ako,-43.562448,172.715927,0.18,10,340,278,36,2,18,5,1,0
3445,New Brighton Catholic School (Chch),03 388 7982,03 382 3142,office@nbc.school.nz,Deborah Daines,http://www.newbrightoncatholic.school.nz,100 Lonsdale Street,New Brighton,Christchurch,100 Lonsdale Street,New Brighton,Christchurch,8083,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Rawhiti,Coastal Ward,,,-43.505942,172.723723,0.18,6,209,136,36,23,4,7,3,0
3447,North Loburn School,03 312 8852,03 312 8870,office@northloburn.school.nz,Darryn Ward,http://www.northloburn.school.nz,813 Loburn Whiterock Road,,Loburn North,813 Loburn Whiterock Road RD 2,,Rangiora,7472,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Loburn,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.207605,172.493841,0.74,9,119,104,8,4,3,0,0,0
3449,Northcote School (Christchurch),03 352 9371,03 352 0364,office@northcotechch.school.nz,Justin Perriam,http://www.northcotechch.school.nz,26 Tuckers Road,Redwood,Christchurch,26 Tuckers Road,Redwood,Christchurch,8051,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Styx Mill,Papanui Ward,99039,Tōtaranui Kāhui Ako,-43.479365,172.614009,0.15,3,156,81,57,6,10,1,1,0
3450,Oaklands School,03 322 8735,03 322 8653,admin@oaklands.school.nz,Margaret Trotter,http://www.oaklands.school.nz,Cunningham Place,Halswell,Christchurch,Cunningham Place,Halswell,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Oaklands East,Halswell Ward,,,-43.571583,172.56465,0.18,9,613,330,52,22,181,22,6,0
3451,Ohoka School,03 312 6840,03 312 6841,office@ohoka.school.nz,Kate McClelland,http://ohoka.ultranet.school.nz,Jacksons Road,,Kaiapoi,Jacksons Road RD 2,,Kaiapoi,7692,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Ohoka,Oxford-Ohoka Ward,99077,Puketeraki Community of Learning,-43.370163,172.590554,0.39,10,186,162,17,1,5,0,1,0
3452,Okains Bay School,03 304 8629,03 304 8629,office@okainsbay.school.nz,Colin Hammond,http://www.okainsbay.school.nz,Okains Bay Road,,Okains Bay,Okains Bay Road RD 3,,Akaroa,7583,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Banks Peninsula Eastern Bays,Banks Peninsula Ward,,,-43.708872,173.042737,1.77,4,13,6,6,1,0,0,0,0
3454,Omihi School,03 314 5857,03 314 5867,principal@omihi.school.nz,Maree Lucas,https://www.omihi.school.nz/,990 Omihi Road,,Hurunui,990 Omihi Road RD 3,,Amberley,7483,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Hurunui,Glenmark Ward,99066,Tipu Maia Community of Learning,-43.022141,172.853629,1.3,9,36,32,3,0,0,0,1,0
3455,Opawa School,03 332 6374,03 332 6137,admin@opawa.school.nz,Sally Ormandy,http://www.opawa.school.nz/,Ford Road,Opawa,Christchurch,30 Ford Road,Opawa,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Opawa,Heathcote Ward,99177,Te Mana Raupō Community of Learning,-43.555662,172.66449,0.1,4,323,220,69,15,13,4,2,0
3461,Our Lady of the Assumption School (Chch),03 338 9503,03 338 9502,admin@ola.school.nz,Janet Cummings,http://www.ola.school.nz,89 A Sparks Road,Hoon Hay,Christchurch,89A Sparks Road,Hoon Hay,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hoon Hay,Spreydon Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.564788,172.60708,0.12,10,287,213,25,14,27,6,2,0
3462,Our Lady of the Snows School (Methven),03 302 8250,,office@ladysnow.school.nz,Pattie Ree,http://www.ladysnow.school.nz,Main Road,,Methven,20 Main Street,,Methven,7730,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Methven,Western Ward,99009,Opuke Community of Learning,-43.639725,171.647461,1.57,8,33,15,2,1,12,3,0,0
3463,Our Lady of Victories,03 348 7790,03 343 2043,admin@olv.school.nz,Collette Sandilands,http://www.olv.school.nz,106 Main South Road,Sockburn,Christchurch,P O Box 11009,Sockburn,Christchurch,8443,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Sockburn,Hornby Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.536215,172.559125,0.15,6,241,65,14,10,144,8,0,0
3464,Ouruhia Model School,03 323 8855,03 323 8855,office@ouruhia.school.nz,Mark Ashmore-Smith,http://www.ouruhia.school.nz,21 Turners Road,Ouruhia,Christchurch,21 Turners Road,Ouruhia,Christchurch,8083,Main Urban Area,Full Primary,Model School,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Styx,Innes Ward,99061,Katote (Christchurch) Community of Learning,-43.444597,172.660388,0.25,8,68,56,8,1,2,0,1,0
3466,Papanui School,03 352 8271,03 352 1430,,Paul Kingston,http://www.papanuiprimary.school.nz,40 Winters Road,Papanui,Christchurch,40 Winters Road,Redwood,Christchurch,8051,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Redwood South,Papanui Ward,99039,Tōtaranui Kāhui Ako,-43.488025,172.619727,0.12,6,200,119,26,17,28,8,2,0
3467,Paparoa Street School,03 352 8160,03 352 0410,office@paparoastreet.school.nz,Pene Abbie,http://www.paparoastreet.school.nz,120 Paparoa Street,Papanui,Christchurch,120 Paparoa Street,Papanui,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Papanui,Papanui Ward,,,-43.499655,172.619586,0.09,10,483,386,11,4,55,17,5,5
3470,Parkview Pārua,03 383 0833,03 383 1458,office@parkview.school.nz,Simon Thomas,http://www.parkview.school.nz,Chadbury Street,Parklands,Christchurch,P O Box 38109,Parklands,Christchurch,8842,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Waimairi Beach,Coastal Ward,,,-43.4806,172.705631,0.23,6,434,284,110,22,8,8,2,0
3477,Pleasant Point Primary School,03 614 7832,03 614 7560,reception@pointprimary.school.nz,Mark Creba,http://www.pointprimary.school.nz,33 Halstead Road,,Pleasant Point,31 Halstead Road,,Pleasant Point,7903,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Pleasant Point,Pleasant Point-Temuka Ward,99174,North Timaru Community of Learning,-44.257427,171.132171,0.99,8,295,252,32,5,4,2,0,0
3478,Prebbleton School,03 349 6553,03 349 9522,admin@prebbleton.school.nz,Kim Alexander,http://www.prebbleton.school.nz,Blakes Road,,Prebbleton,Blakes Road,,Prebbleton,7604,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Prebbleton,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.577074,172.513059,0.29,10,516,389,27,3,76,18,3,0
3479,Queenspark School,03 383 1578,03 383 0003,admin@queenspark.school.nz,Ross Willocks,http://www.queenspark.school.nz,222 Queenspark Drive,Parklands,Christchurch,222 Queenspark Drive,Parklands,Christchurch,8083,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Parklands,Coastal Ward,,,-43.473158,172.695985,0.24,8,575,462,79,16,13,3,1,1
3480,Rakaia School,03 302 7113,03 302 7917,principal@rakaia.school.nz,Mark Ellis,http://www.rakaia.school.nz,Dunford Street,,Rakaia,33 Dunford Street,,Rakaia,7710,Minor Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Rakaia,Eastern Ward,99009,Opuke Community of Learning,-43.751468,172.022787,1.05,6,165,96,42,15,9,3,0,0
3481,Rangiora Borough School,03 313 7434,03 313 7213,office@rangiora.school.nz,Heidi Moeller (Acting),http://www.rangiora.school.nz,King Street,,Rangiora,P O Box 68,,Rangiora,7440,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Rangiora Central,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.30538,172.590275,0.4,7,496,383,49,30,21,10,3,0
3483,Te Raekura Redcliffs School,03 384 3853,03 384 2413,admin@redcliffs.school.nz,Rose McInerney-Boon,http://www.redcliffs.school.nz,113 Beachville Road,Redcliffs,Christchurch,113 Beachville Road,Redcliffs,Christchurch,8081,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Moncks Bay,Heathcote Ward,99196,Aupaki Kāhui Ako,-43.556439,172.733609,0.2,10,243,182,34,3,11,8,5,0
3484,Redwood School (Christchurch),03 352 6739,03 352 0486,,Nick Gunn,http://www.redwoodprimary.school.nz,51 Prestons Road,Redwood,Christchurch,51 Prestons Road,Redwood,Christchurch,8051,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Redwood North,Papanui Ward,99039,Tōtaranui Kāhui Ako,-43.473605,172.621954,0.17,8,289,181,56,7,37,8,0,0
